row_index,key,contoh,googlecontoh
92,a,ular itu panjangnya 6 a 7 m; lama perjalanan 2 a 3 jam,The snake is 6 to 7 m long; the journey takes 2 to 3 hours
93,a,"ia membeli bahan itu 5 m a Rp20.000,00","he bought the material for 5 m a Rp. 20,000.00"
99,a fortiori,"ia berpendapat, a fortiori, bahwa konsep hierarki peraturan perundang-undangan hanya menjelaskan segi formal justifikasi","he argues, a fortiori, that the concept of the hierarchy of legal regulations only explains the formal aspect of justification"
102,a quo,perkara a quo perkara tersebut (yang sedang diperselisihkan),the a quo case is the case (which is being disputed)
104,a-,anemia,anemia
105,a-,aseksual,asexual
106,a-,anonim,anonymous
133,ab-,abnormal,abnormal
137,abaaka,abaaka dikenakan penari pada saat upacara adat,Abaaka is worn by dancers during traditional ceremonies.
139,abab,bau abab adik tidak enak karena sebelum tidur tidak menggosok gigi,My little brother's breath smells bad because he didn't brush his teeth before going to bed.
140,abad,bangunan itu diperkirakan dapat bertahan satu abad,the building is expected to last a century
141,abad,abad ke-20 mulai dari tahun 1901 sampai tahun 2000,20th century from 1901 to 2000
149,abadi,tidak ada kehidupan yang abadi di dunia ini,there is no eternal life in this world
152,abah,tidak tentu abahnya,not necessarily his father
161,abahan,abahan berkualitas baik untuk membuat jembatan yang kuat biasanya direndam di sungai dahulu,Good quality materials for making strong bridges are usually soaked in the river first
164,abai,saya sedikit abai mengurus blog ini,I've been a little careless in taking care of this blog
165,abai,"sebagai seorang ayah, ia abai dari kewajiban keluarga","as a father, he neglected his family obligations"
171,abajang,dia tidur lebih awal supaya tidak abajang besok pagi,He went to bed early so he wouldn't be late tomorrow morning
186,abam,kotor bajuku kena abam; jangan kau buangkan abam itu ke sana,my clothes got dirty; Don't throw that guy out there
192,abang,abangnya tiga tahun lebih tua,his brother is three years older
193,abang,tahukah abang jalan ke kantor pos?,Do you know the way to the post office?
194,abang,sudah dua hari abang tidak pulang,My brother hasn't come home for two days
195,abang,ia biasa belanja pada abang sayur yang lewat di depan rumahnya,He usually shops for vegetables from his brother who passes in front of his house
244,abdu,Abdullah hamba Allah; Abdurrahman hamba Allah Yang Maha Pengasih,"Abdullah the servant of Allah; Abdurrahman, servant of the Most Merciful Allah"
252,abece,belum tahu abece kehidupan,don't know the alphabet of life yet
256,aber,"setelah pensiun, seseorang cenderung rendah diri karena merasa aber.","After retirement, a person tends to have low self-esteem because he feels helpless."
273,abih,Amir abih saudaranya di pengadilan,Amir has his brother in court
274,abih,abih pengantin itu ke rumah orang tua mempelai wanita,Then the bride and groom go to the bride's parents' house
275,abikara,semua orang mendengarkan pendapatnya karena dia seorang abikara,everyone listens to his opinion because he is a leader
301,abiseka,Hayam Wuruk telah dinobatkan dengan nama abiseka Sri Rajasanagara,Hayam Wuruk was crowned with the name Abiseka Sri Rajasanagara
334,abnormal,sejak kecelakaan itu dia menjadi abnormal,since the accident he has become abnormal
340,aboa,kalau ia berjalan punggungnya aboa,when he walks his back is aboa
348,abon,"sebelum pergi melaut, nelayan pasti menyiapkan abon","Before going to sea, fishermen must prepare shredded fish"
352,abong-abong,"abong-abong saya orang miskin, selalu dihina","My abong-abong are poor people, always insulted"
376,abot,abot banyak ditemukan di daerah kepulauan Meranti,Abot is often found in the Meranti Islands area
377,abotoi,tangan Ibu kotor karena terkena abotoi,Mother's hands are dirty because they have been exposed to abotoi
382,abrag,sepasang pengantin baru itu belum memiliki abrag,the newlywed couple do not have a wedding yet
417,absah,surat keterangan ini tidak absah,this certificate is invalid
434,absolut,seorang raja mempunyai kekuasaan absolut,A king has absolute power
436,absolut,penyerahan absolut tentara kolonial Belanda kepada tentara pendudukan Jepang,absolute surrender of the Dutch colonial army to the Japanese occupation army
437,absolut,terbukti keterlibatannya dalam peristiwa itu absolut,it was proven that his involvement in the incident was absolute
438,absolut,alkohol absolut dengan konsentrasi 99% ampuh untuk membunuh kuman dan penyakit,absolute alcohol with a concentration of 99% is effective in killing germs and diseases
458,abstain,ia abstain dalam pemungutan suara untuk memilih ketua baru,he abstained from voting to elect a new chairman
464,abstrak,kebaikan dan kebenaran adalah pengertian yang abstrak,goodness and truth are abstract concepts
483,abu,abu rokok; rumahnya telah menjadi abu,cigarette ash; his house had been reduced to ashes
484,abu,bajunya kotor oleh abu,his clothes were dirty with ashes
487,abu,"setelah Ibu melahirkan, Bapak segera melakukan abu","After Mother gave birth, Father immediately had ashes"
489,abu inang,"si abu inang selalu merasa paling tahu tentang semua berita di sekolahnya, padahal belum ada bukti","The host always feels like he knows all the news at his school, even though there is no proof."
491,abu jerjeren,dia dipanggil abu jerjeren karena tidak pernah terlihat rapi dan bersih,he was called abu jerjeren because he never looked neat and clean
500,abu-abu,pemberian sanksi pelanggaran kedisiplinan pada perusahaan itu terlihat masih abu-abu,The imposition of sanctions for disciplinary violations on the company still seems to be a grey area
517,abuk,abuk kaki,foot powder
533,abun-abun,bila senja tiba cepat buat abun-abun,"when dusk comes, quickly make ash"
541,abus,abus lah kamu sekalian,you all are stupid
549,abuza,"sejak dipenjara, kepala desa itu menjadi abuza","since being imprisoned, the village head has become abuza"
551,abyor,bintang-bintang di angkasa abyor,the stars in the sky above
555,acabis,"jika aku pulang ke Bangkalan, biasanya acabis ke kiai","If I go home to Bangkalan, I usually go to the kiai"
558,acak,responden kuis itu diambil secara acak,The quiz respondents were taken randomly
579,acap,keris itu pun acaplah; kakinya acap ke lumpur,the keris is also often; his feet often end up in the mud
580,acap,dua hari dua malam acaplah desa itu,two days and two nights the village was deserted
581,acap,acap selalu ke tempat yang rendah,often always go to low places
590,acara,acara kongres akan disusun oleh panitia khusus,the congress program will be arranged by a special committee
591,acara,untuk ujian mengarang disediakan empat acara,"For the composition test, four events are provided"
592,acara,acara televisi dan radio setiap hari dimuat dalam media daring,daily television and radio programs are published in online media
593,acara,dia sedang menyaksikan acara di mahkamah tinggi,he was watching the proceedings at the high court
594,acara,setiap orang mempunyai acara berpikir yang berlainan,everyone has a different way of thinking
615,acc,proses pengajuan kredit mobilnya sudah memperoleh acc pihak bank,the car loan application process has been approved by the bank
623,aceh,jenis rambutan yang aceh banyak diminati,This type of rambutan from Aceh is in great demand
641,aci,tidak aci tidak sah,not valid
650,aci-acian,ia belum mempunyai aci-acian akan keadaan tempat itu,He didn't have any idea about the condition of that place
655,acingara,isi drum itu sudah acingara,the contents of the drum are already acingara
658,aco,para pemain sudah berbaris di garis aco,the players have lined up on the aco line
659,aco,para pelari akan aco dari balai kota,the runners will start from the town hall
663,acop,Kakek sedang membuat acop dari kayu ulin,Grandpa is making a hatchet from ironwood
671,acuan butik,membuat kue dengan acuan butik butik perlu ketelatenan,making cakes with boutique references requires patience
676,acuh,ia tidak acuh akan larangan orang tuanya,He is not indifferent to his parents' prohibitions
687,acungan,ia memberikan acungan jempol kepada teman mainnya,he gave a thumbs up to his playmate
692,ad hoc,MPR baru saja meresmikan pembentukan panitia ad hoc perubahan tata tertib dalam sidang paripurna,The MPR has just officially formed an ad hoc committee to change the rules of procedure in plenary sessions.
693,ad infinitum,saat ini ada kegemaran untuk membicarakan secara ad infinitum perkara kepemimpinan sebagai penyebab masalah yang ada sekarang,Nowadays there is a penchant for discussing ad infinitum the case of leadership as the cause of the current problems
694,ad interim,"saat ini, ia ditunjuk sebagai menteri ad interim","Currently, he is appointed as ad interim minister"
695,ad libitum,improvisasi dan ornamentasi ad libitum sering didengar pada musik non-Eropa,ad libitum improvisation and ornamentation are often heard in non-European music
700,ad referendum,para perwakilan negara melakukan penandatanganan ad referendum atau pembubuhan paraf,the representatives of the countries signed the referendum or initialed it
704,ada,ia ada di sana,he is there
705,ada,ia tidak ada uang,he has no money
706,ada,ia ada menerima surat itu,he has received the letter
749,ada-ada saja,"ada-ada sajaada saja kamu ini, masak ada kuda yang bertanduk","You're always up to something, how can there be a horse with a horn?"
750,ada-adanya,ada-adanya orang mati hidup lagi,there are dead people coming back to life
752,adab,ayahnya terkenal sebagai orang yang tinggi adabnya,his father was known as a man of high manners
757,adagium,"sebuah adagium Latin menyatakan “Ubi societas, ibi justicia” yang berarti di mana ada masyarakat dan kehidupan di sana ada hukum (keadilan)","A Latin adage states “Ubi societas, ibi justicia” which means where there is society and life there is law (justice)"
759,adaini,pendemo berteriak lantang hingga adaininya terlihat jelas,the demonstrators shouted loudly until their presence was clearly visible
760,adak,ibu membuat adak untuk adik yang baru bisa berjalan,Mother makes adak for her little brother who can just walk
762,adakah,adakah ia berbicara denganmu?,did he talk to you?
765,adakala,"hidup ini adakala mengalami pasang naik, adakala juga mengalami pasang surut",This life sometimes experiences ups and downs
767,adakan,adakan ayam berkaki empat,have a four-legged chicken
772,adalah,Pancasila adalah falsafah bangsa Indonesia,Pancasila is the philosophy of the Indonesian nation
773,adalah,Desember adalah bulan kedua belas,December is the twelfth month
774,adalah,saya adalah pengagum Ki Hajar Dewantara,I am an admirer of Ki Hajar Dewantara
779,adam,"pada waktu salat, umumnya kaum adam dan kaum Hawa dipisah","At prayer time, generally men and women are separated"
797,adanya,adanya pertentangan paham itu menimbulkan kesukaran,the existence of conflicting opinions creates difficulties
798,adanya,sekalian kaum keluarga selamat adanya,May all family members be safe
799,adanya,dia juga adanya; belum diketahui juga siapa adanya,he also exists; it is not yet known who he is
802,adaptabilitas,"kaktus mempunyai adaptabilitas yang luas, yaitu dapat hidup di dataran rendah hingga dataran tinggi, termasuk daerah yang bersalju","Cactus has wide adaptability, namely it can live in lowlands to highlands, including snowy areas."
804,adaptasi,seminar tersebut memberikan tip tentang adaptasi di lingkungan pekerjaan baru,The seminar provided tips on adapting to a new work environment.
805,adaptasi,adaptasi buku-buku roman asing itu perlu sekali untuk memudahkan penerimaan murid,Adapting foreign romance books is very necessary to facilitate student acceptance.
819,adapun,adapun saya ini disuruh juga olehnya meminta bantuan,"As for me, he also asked me to ask for help."
832,adat,"menurut adat daerah ini, laki-lakilah yang berhak mengatur ahli waris","According to local customs, men have the right to determine the inheritance."
833,adat,demikianlah adatnya apabila ia marah,that's the custom when he's angry
837,adat,masyarakat melakukan adat untuk warga desa yang baru menikah,the community performs customs for newly married villagers
880,adau,Ayah mencari adau untuk membuat sampek,Father is looking for adau to make sampek
887,adegan,beberapa adegan dalam film itu telah dipotong oleh bagian sensor,Some scenes in the film were cut by the censorship department.
898,adegan syur,ada adegan syur syur dalam film itu,there are pornographic scenes in the film
902,adei,"adei, berat sekali kopermu ini","Adei, your suitcase is really heavy."
908,adem,udara di puncak gunung terasa adem,the air at the top of the mountain feels cool
909,adem,lingkungan masyarakat yang adem dapat memberikan kenyamanan bagi warganya,a cool community environment can provide comfort for its residents
947,adhesi,ia menyatakan adhesinya,he stated his adhesion
949,adi,saya mengalas lantai dengan adi,I smoothed the floor with Adi
950,adi-,adipura; adisiswa,Adipura; student
983,adik,adik kandung,younger sibling
998,adik-beradik,marilah kita bicarakan perkara itu secara adik-beradik,Let's discuss this matter as a brother and sister
1000,adika,Datuk Seri adika Raja,"Datuk Seri, the younger brother of the King"
1005,adikarya,Candi Borobudur termasuk adikarya nenek moyang bangsa Indonesia,Borobudur Temple is a masterpiece of the ancestors of the Indonesian nation.
1015,adikuasa,penyusunan kekuatan negara adikuasa di wilayah itu berlangsung diam-diam,the formation of the superpower's power in the region took place secretly
1016,adil,keputusan hakim itu adil,the judge's decision was fair
1018,adil,para buruh mengemukakan tuntutan yang adil,the workers put forward fair demands
1019,adilaga,adilaga antara Pandawa dan Kurawa disebut perang Bharatayudha,The war between the Pandavas and Kurawas was called the Bharatayudha war
1020,adiluhung,seni budaya yang bernilai adiluhung wajib dipelihara,valuable arts and culture must be preserved
1021,adimanusia,dengan menjadi adimanusia ia akan mempunyai kekuasaan untuk membawa dunia ini ke arah yang lebih baik,by becoming a superhuman he will have the power to bring this world to a better direction
1023,adimas,kangmas tiada setuju jikalau adimas ikut pergi berperang,Kangmas doesn't agree if Adimas goes to war
1037,adiperagawan,"pelanggannya termasuk pesohor, adiperagawan, dan penggemar sepatu di seluruh dunia","His customers include celebrities, fashion models, and shoe enthusiasts worldwide."
1048,adisatria,sudah banyak tokoh pendekar dan adisatria karya komikus Indonesia,There are many warrior and knight characters created by Indonesian comic artists
1057,aditama,ia merupakan salah satu wanita aditama dalam kelompok itu,she is one of the most important women in the group
1072,adiwira,Gundala adalah adiwira asli Indonesia,Gundala is a native Indonesian superhero
1074,adiyuga,kertayuga; satyayuga,kertayuga; satyayuga
1075,adiyuswa,orang yang dikategorikan sebagai adiyuswa berusia 60 tahun ke atas,people who are categorized as Adiyuswa are aged 60 years and above
1134,adopsian,penjinakan perlu dilakukan pada hewan adopsian itu,taming needs to be done on the adopted animal
1154,adreng,ia adreng bertemu dgn anaknya,he was going to meet his son
1181,adu lengan,kita harus berusaha agar jangan sampai kedua negara besar itu adu lengan lengan di perairan kita,We must try to ensure that these two big countries do not engage in a clash of arms in our waters.
1186,adu pangul,"karena jauh dari kantor catatan sipil, kedua pasangan melaksanakan adu pangul dulu untuk mengesahkan hubungan mereka","Because it was far from the civil registry office, the couple had to hold a fist fight first to legalize their relationship."
1187,adu penalti,kemenangan fenomenal Jerman atas Argentina melalui adu penalti penalti di perempat final kian meningkatkan asa tim Jerman,Germany's phenomenal victory over Argentina on penalties in the quarter-finals further boosted the German team's hopes.
1190,aduan,aduan sapi,cow fight
1191,aduan,ayam aduan,fighting cock
1194,aduhai,"aduhai biji mata Bunda, sampai hatikah Ananda meninggalkan Bunda; aduhai sungguh indah permata itu","Oh my, the apple of my mother's eye, how could my heart leave my mother? Oh, how beautiful that jewel is!"
1195,aduhai,"selain pecatur yang aduhai, ia juga seorang pemain pingpong yang baik","Besides being a great chess player, he is also a good ping pong player."
1207,adunan,ia kelihatan bertambah cantik dengan adunan itu,she looks even more beautiful with that decoration
1234,advokasi,penggagas berdirinya lembaga bantuan hukum ini kembali menekuni dunia advokasi,The initiator of the establishment of this legal aid institution has returned to the world of advocacy
1258,aero-,aerodinamika; aerofisika,aerodynamics; aerophysics
1329,afal,ia orang yang baik afalnya,he is a good person
1347,afdal,salat baru afdal apabila dilaksanakan dengan baik dan tidak menyimpang dari rukunnya,A new prayer is complete if it is performed well and does not deviate from its harmony
1348,afdal,bagi mereka rasanya kurang afdal apabila berbuka puasa tidak ada buah kurma,For them it doesn't feel right if they break their fast without dates
1375,afiat,syukurlah engkau dalam keadaan sehat dan afiat,Thank God you are in good health and well
1380,afifar,afifar yang dipetik di kebun terbuang karena belum dapat digoreng,The afifar that was picked in the garden was thrown away because it couldn't be fried yet
1383,afiks terbuka,afiks per pada pergunakan merupakan afiks terbuka terbuka,the affix per in use is an open affix
1384,afiks tertutup,afiks di- pada dimengerti merupakan afiks tertutup tertutup,the affix di- on is understood to be a closed affix
1386,afiliasi,beberapa universitas di negeri ini mempunyai afiliasi dengan universitas atau perguruan tinggi di luar negeri,Several universities in this country have affiliations with universities or colleges abroad.
1403,afk,"karena ada paket datang, aku afk dulu","because a package arrived, I'm AFK first"
1406,afkiran,sebagian kayu afkiran masih dapat dimanfaatkan,some of the discarded wood can still be used
1435,afui,"daun dari afui, seperti pepaya, enak dimasak","leaves of afui, like papaya, are delicious cooked"
1437,afwan,afwan jika ada yang kurang berkenan,Afwan if there is something you don't like
1441,aga,ibu itu aga juga atas kepandaian anak tunggalnya,The mother also admired the intelligence of her only child
1443,aga,"sebelum bertengkar, kakak aga adik","before fighting, brother or sister"
1444,aga,aga Khan,aga Khan
1445,aga,orang Bali aga,Balinese people
1452,agak,agak hati saya ia tidak dapat datang malam ini,I'm afraid he won't be able to come tonight
1453,agak,ia akan pergi agak dua minggu,he will be gone for about two weeks
1454,agak,agak jauh juga rumahnya,his house is quite far away
1456,agak,jika kita pergi piknik selalu membawa agak untuk tempat menyimpan makanan,"If we go on a picnic, we always bring a container to store food in."
1457,agak-agak,agak-agak bertutur pada malam hari,probably talking at night
1458,agak-agak,apa agak-agak maksud kedatangannya kemari?,What does he mean by coming here?
1460,agaknya,agaknya hari akan hujan,it looks like it will rain today
1461,agaknya,siapa agaknya yang mengambil buku saya,who probably took my book?
1465,agam,tubuhnya agam,his body is religious
1469,agama,agama Islam; agama Kristen; agama Buddha,Islam; Christianity; Buddhism
1479,agamais,ia adalah orang yang agamais,he is a religious person
1484,agamawi,bangsa kita adalah bangsa yang agamawi,our nation is a religious nation
1502,aganta,"sebelum melahirkan, ibu meminum beberapa gelas aganta","Before giving birth, the mother drank several glasses of aganta"
1505,agar,kita sebaiknya banyak makan sayuran agar selalu sehat,We should eat lots of vegetables to stay healthy
1517,agau,ibu muda itu agau anaknya sehingga terbatuk-batuk,The young mother was so embarrassed that her child was coughing
1526,ageman,ageman biasanya akan sama meskipun berdasarkan perkiraan,Ages will usually be the same even if based on estimates
1577,agenda,acara rapat itu telah dicatat dalam agenda,the meeting agenda has been recorded in the agenda
1578,agenda,hal itu tercantum juga dalam agenda rapat,this is also listed in the meeting agenda
1579,agenda politik,pemerintah akan membahas agenda politik politik penting dalam rapat kerja tersebut,The government will discuss important political agendas in the working meeting.
1595,agih,agih adikmu sedikit,give your little brother a little
1596,agih tagan,agih tagan tagan kue yang sudah diberi emak itu ke adik-adikmu,distribute the cake tags that your mother gave you to your younger siblings
1619,aglomerasi,Pemerintah DKI Jakarta menetapkan daerah Pulogadung sebagai tempat aglomerasi pabrik,The DKI Jakarta government has designated the Pulogadung area as a factory agglomeration area.
1658,agonan,agonan kita berterus terang agar masalah ini cepat selesai; hari ini harus agonan daripada hari esok,Let's be honest so that this problem can be resolved quickly; today must be earlier than tomorrow
1680,agraris,negara kita adalah negara agraris,our country is an agricultural country
1687,agregat,"meskipun kalah, MU tetap lolos ke babak final karena unggul agregat 3-2","Even though they lost, MU still qualified for the final because they won 3-2 on aggregate."
1716,agrin,"karena patah hati, dia berhari-hari tidak mau makan sehingga akhirnya agrin","because of a broken heart, he didn't want to eat for days so that in the end he was agrin"
1760,agu,"setelah bencana longsor, banyak agu mengungsi ke kota","After the landslide disaster, many people fled to the city."
1765,agunan,apa agunanmu untuk pinjaman sebanyak itu?,what is your collateral for such a large loan?
1766,agung,kita kedatangan tamu agung dari negara tetangga,we have a distinguished guest from a neighboring country
1776,ah,"ah, jangan marah dulu, nanti akan saya terangkan duduk perkaranya; ah, mengapa itu yang kauambil","Ah, don't be angry yet, later I will explain the problem; ah, why is that what you took"
1783,ahai,banyak ahai di lubang bekas kuburan binatang itu,there are many ahai in the animal's former burial hole
1784,ahakore,kulit kayu ini bisa dijadikan ahakore,This bark can be made into ahakore
1786,ahang,seekor orang utan ditemukan ahang di hutan itu,an orangutan was found in the forest
1787,ahang,mangga yang masih ahang jangan dikupas dulu,Don't peel raw mangoes first
1790,ahas,ibu mencari ahas untuk dijadikan nyiru,Mother is looking for ahas to imitate
1791,ahasale,kayu-kayu yang diambil dari hutan disimpan di ahasale,wood taken from the forest is stored in ahasale
1793,ahaun,ibu-ibu di Pulau Haruku berjalan dengan ahaun di atas kepala,mothers on Haruku Island walk with ahaun on their heads
1794,ahe,"sebelum memanen cengkih, dia ahe dahan-dahan pada pohon cengkih","Before harvesting cloves, he ahe the branches on the clove tree"
1806,ahing,nelayan rugi besar karena ahing pada bubunya rusak,Fishermen suffered huge losses because the hooks on their fish traps were damaged.
1821,ahli,dia seorang yang ahli menjalankan mesin itu,he is an expert at running the machine
1822,ahli,dia orang yang ahli dalam ibadah,he is a person who is an expert in worship
1823,ahli,ahli peneliti,research expert
1904,ahola,dia mendapat ikan banyak setelah ahola di pinggir pantai,he got a lot of fish after ahola on the beach
1913,ahuni,tetua adat melakukah ahuni dengan memercikkan air ke wajah orang yang kerasukan,Traditional elders perform ahuni by sprinkling water on the face of the possessed person
1917,ai,"ai, dari mana kau peroleh bunga-bunga itu?","Hey, where did you get those flowers?"
1919,aib,bagimu itu adalah aib yang tiada terhapuskan lagi; janganlah merasa aib melakukan pekerjaan yang kasar,For you it is an indelible disgrace; do not feel ashamed of doing rough work.
1920,aib,"jika ada aib dan bebalnya, hendaklah dimaafkan","If there is disgrace or stupidity, let it be forgiven"
1924,aide-mémoire,Kebijakan politik yang diambil oleh Amir Syarifuddin adalah membuat nota balasan terhadap aide-mémoire Belanda,The political policy taken by Amir Syarifuddin was to make a reply note to the Dutch aide-mémoire
1937,ailakua,dia meletakkan kakinya di ailakua saat memanjat pohon kelapa,he put his feet on the ailakua while climbing the coconut tree
1957,air,ayam dia kemarin menang satu air empat menit,his chicken won yesterday by one water four minutes
2030,air gedang,kami mandi dengan air gedang gedang,we bathed with gedang gedang water
2109,air muka,air muka mukanya berseri-seri,her face was radiant
2213,aiwo,pekasih: ia menggunakan aiwonya untuk membujuk perempuan idamannya,lover: he uses his aiwo to seduce the woman of his dreams
2220,ajaib,pertunjukan yang ajaib,magical show
2221,ajaib,itulah ajaib Allah,that is the magic of God
2226,ajak,"karena tidak pandai bermain, anak itu selalu ajak dalam setiap permainan","because he is not good at playing, the child always gets invited to every game"
2229,ajakan,ajakan pemerintah untuk membangun desa disambut baik oleh segenap lapisan masyarakat,The government's invitation to develop villages was welcomed by all levels of society.
2232,ajal,menemui ajalnya; menghadap (menanti) ajalnya; sampai ajalnya,met his death; facing (waiting) for death; until his death
2238,ajang,ajang pertempuran,battle arena
2240,ajang seleksi,kejuaraan atletik se-Jawa itu digunakan sebagai ajang seleksi seleksi bagi pemain daerah,The Java-wide athletics championship is used as a selection event for regional players.
2245,ajaran,ia senantiasa memegang teguh ajaran orang tuanya,he always adheres to his parents' teachings
2246,ajaran,ajaran terlarang,forbidden teachings
2280,ajib,risoles ini rasanya ajib sekali,This risoles tastes really great
2281,ajib,penjual itu memberikan pelayanan yang ajib,the seller provided amazing service
2301,ajongi,ibu sedang ajongi kue lapis,mother is baking layer cake
2304,aju-aju,anak-anak tidak boleh aju-aju perkataan orang tuanya yang kasar,Children should not accept their parents' harsh words
2305,ajuan,tidak kurang dari tiga ajuan proposal yang diterima oleh panitia untuk seminar pada bulan Desember yang akan datang,no less than three proposals were received by the committee for the seminar in December next year
2315,ajun,ajun jaksa,assistant prosecutor
2332,ajus,hanya ajus tempatku bertanya masalah perempuan,just ajus where I ask about women's problems
2340,akad,akad jual beli,sale and purchase agreement
2348,akademi,akademi militer; akademi seni rupa,military academy; academy of fine arts
2349,akademi,akademi Prancis; akademi Jakarta,French academy; Jakarta academy
2354,akademis,soal-soal akademis,academic questions
2355,akademis,pelajaran yang diberikan terlalu akademis,the lessons given are too academic
2361,akal,makhluk Tuhan yang mempunyai akal ialah manusia,God's creatures who have reason are humans
2362,akal,minta akal (kepada),ask for reason (from)
2363,akal,penipu tidak akan kekurangan akal,cheaters will not lack wit
2366,akal buaya,"karena ia sering ditekan majikannya, akal buaya buayanya muncul","because he was often pressured by his employer, his crocodile instincts emerged"
2384,akal-akal,ia sakit akal-akal saja karena malas ke sekolah,He's just pretending to be sick because he's lazy about going to school
2385,akal-akalan,bukan sekadar akal-akalan perusahaan,not just a corporate gimmick
2388,akan,disangkanya hari akan hujan,he thought it would rain
2389,akan,kepada: ia lupa akan orang tuanya,to: he forgot his parents
2390,akan,akan harta peninggalan orang tuanya itu tiada dipikirkannya lagi,He no longer thought about the inheritance from his parents
2391,akan,uang ini dapat kaupakai akan pembayar utangmu,you can use this money to pay your debts
2392,akan tetapi,akan tetapi tetapi masalahnya tidak semudah itu,"However, the problem is not that easy"
2399,akar,akar pohon ini dapat dibuat obat,The roots of this tree can be made into medicine
2400,akar,yang perlu dibasmi adalah akar segala kejahatan,what needs to be eradicated is the root of all evil
2529,akarota,dia akarota telah perbaiki sandal itu,he akarota has repaired the sandals
2531,akas,anak ini akas menari,This child will dance
2535,akas,nasi akas cocok untuk diolah menjadi nasi goreng dengan berbagai cita rasa,Akas rice is suitable for processing into fried rice with various flavors
